x,y,z,x_quat,y_quat,z_quat,w_quat
89636.828223,43143.081975,6.317072,0.000000,0.000000,-0.493340,0.869836
89643.380479,43136.443029,6.311165,0.000000,0.000000,0.160678,0.987007
89650.069068,43141.135021,6.328562,0.000000,0.000000,0.699456,0.714676
89645.625751,43148.892987,6.364361,0.000000,0.000000,0.855458,0.517873
89639.977914,43156.294938,6.372266,0.000000,0.000000,0.899436,0.437053
89636.309907,43164.875216,6.558830,0.000000,0.000000,0.911257,0.411839
89629.045994,43170.705750,6.663589,0.000000,0.000000,0.910751,0.412956
89621.648447,43176.735218,6.609908,0.000000,0.000000,0.845594,0.533826
89621.108461,43185.759755,6.611825,0.000000,0.000000,0.328683,0.944440
89630.069507,43188.761614,6.760404,0.000000,0.000000,-0.257591,0.966254
89637.244951,43183.773254,6.856706,0.000000,0.000000,-0.163097,0.986610
89645.454068,43180.693424,7.040697,0.000000,0.000000,0.178075,0.984017
89653.064049,43186.643021,7.114293,0.000000,0.000000,0.197508,0.980301
89661.339981,43189.958353,6.915244,0.000000,0.000000,-0.145469,0.989363
89665.513815,43181.954975,6.767532,0.000000,0.000000,-0.723010,0.690837
89660.240012,43174.429785,6.711648,0.000000,0.000000,-0.997178,0.075072
89651.238349,43173.793087,6.847255,0.000000,0.000000,-0.983460,0.181125
89644.360493,43168.965311,7.062063,0.000000,0.000000,-0.642321,0.766436
89647.254826,43160.746541,6.761747,0.000000,0.000000,-0.212259,0.977213
89655.940894,43159.302091,6.471009,0.000000,0.000000,0.141186,0.989983
89663.690529,43163.459256,6.466044,0.000000,0.000000,0.511028,0.859564
89668.307522,43170.911524,6.506006,0.000000,0.000000,0.112211,0.993684
89676.016499,43170.280256,6.550763,0.000000,0.000000,-0.424476,0.905439
89678.394731,43161.779901,6.549534,0.000000,0.000000,-0.601335,0.798997
89678.685745,43152.677943,6.529871,0.000000,0.000000,-0.885312,0.464997
89672.631463,43146.787253,6.523151,0.000000,0.000000,-0.989185,0.146673
89663.813153,43147.444550,6.456028,0.000000,0.000000,-0.996104,0.088186
89656.737081,43143.131540,6.418146,0.000000,0.000000,-0.825807,0.563953
89657.549273,43134.297584,6.379660,0.000000,0.000000,-0.667034,0.745027
89658.213991,43125.674077,6.369032,0.000000,0.000000,-0.883000,0.469374
89651.474890,43121.483792,6.347935,0.000000,0.000000,-0.998523,0.054326
89643.971504,43123.218159,6.326438,0.000000,0.000000,-0.999979,0.006415
89637.023568,43122.192732,6.280184,0.000000,0.000000,0.965606,0.260011
89631.017169,43125.423281,6.229684,0.000000,0.000000,0.880755,0.473572
89629.373538,43132.890122,6.223089,0.000000,0.000000,0.887679,0.460463
89624.948493,43139.809580,6.236491,0.000000,0.000000,0.886618,0.462503
89618.331312,43146.022019,6.224128,0.000000,0.000000,0.884065,0.467363
89614.452112,43154.603312,6.235379,0.000000,0.000000,0.798825,0.601564
89614.132589,43164.160732,6.270735,0.000000,0.000000,0.332024,0.943271
89621.708817,43167.521242,6.344728,0.000000,0.000000,-0.372298,0.928113
89626.632054,43160.137805,6.365839,0.000000,0.000000,-0.507720,0.861522
89629.645627,43151.328678,6.340824,0.000000,0.000000,-0.477121,0.878837
89636.128244,43143.899738,6.320668,0.000000,0.000000,-0.493340,0.869836
89642.529766,43136.866203,6.308600,0.000000,0.000000,0.160678,0.987007
89649.430245,43140.842835,6.329609,0.000000,0.000000,0.699456,0.714676
89645.687585,43148.864453,6.359860,0.000000,0.000000,0.855458,0.517873
89640.193100,43156.513391,6.372177,0.000000,0.000000,0.899436,0.437053
89636.006127,43164.911792,6.537421,0.000000,0.000000,0.911257,0.411839
89628.779526,43170.830873,6.658803,0.000000,0.000000,0.910751,0.412956
89621.653533,43177.082183,6.613641,0.000000,0.000000,0.845594,0.533826
89620.938995,43186.003149,6.619718,0.000000,0.000000,0.328683,0.944440
89629.329295,43189.014451,6.755202,0.000000,0.000000,-0.257591,0.966254
89636.668444,43183.844246,6.866862,0.000000,0.000000,-0.163097,0.986610
89644.783589,43180.626437,7.012588,0.000000,0.000000,0.178075,0.984017
89652.698950,43185.975077,7.123359,0.000000,0.000000,0.197508,0.980301
89660.919615,43189.905628,6.968330,0.000000,0.000000,-0.145469,0.989363
89665.800445,43182.470820,6.763408,0.000000,0.000000,-0.723010,0.690837
89660.425777,43174.966117,6.720778,0.000000,0.000000,-0.997178,0.075072
89651.332643,43173.949776,6.841226,0.000000,0.000000,-0.983460,0.181125
89644.185950,43169.217561,7.065623,0.000000,0.000000,-0.642321,0.766436
89647.424660,43160.864976,6.736524,0.000000,0.000000,-0.212259,0.977213
89656.011128,43159.236561,6.472052,0.000000,0.000000,0.141186,0.989983
89663.610739,43163.622368,6.462607,0.000000,0.000000,0.511028,0.859564
89668.252538,43171.173398,6.508041,0.000000,0.000000,0.112211,0.993684
89676.102602,43170.115897,6.549018,0.000000,0.000000,-0.424476,0.905439
89678.016934,43161.091178,6.547371,0.000000,0.000000,-0.601335,0.798997
89678.613654,43152.227299,6.529677,0.000000,0.000000,-0.940498,0.339798
89672.625167,43146.666052,6.524218,0.000000,0.000000,-0.989185,0.146673
89663.769546,43147.646429,6.449701,0.000000,0.000000,-0.996104,0.088186
89656.744929,43143.161568,6.415552,0.000000,0.000000,-0.825807,0.563953
89657.530423,43134.280371,6.379875,0.000000,0.000000,-0.667034,0.745027
89658.252431,43125.612746,6.368156,0.000000,0.000000,-0.883000,0.469374
89651.298052,43121.527731,6.346383,0.000000,0.000000,-0.998523,0.054326
89643.851444,43123.367016,6.327082,0.000000,0.000000,-0.999979,0.006415
89636.884838,43122.139006,6.284121,0.000000,0.000000,0.965606,0.260011
89630.932854,43125.024556,6.232872,0.000000,0.000000,0.880755,0.473572
89629.384627,43132.521471,6.222091,0.000000,0.000000,0.887679,0.460463
89625.270629,43139.610986,6.236950,0.000000,0.000000,0.886618,0.462503
89618.518447,43145.617962,6.226154,0.000000,0.000000,0.884065,0.467363
89614.740196,43154.118933,6.235603,0.000000,0.000000,0.852035,0.523484
89614.107285,43163.685369,6.267582,0.000000,0.000000,0.332024,0.943271
89621.065830,43168.389114,6.348169,0.000000,0.000000,-0.171466,0.985190
89626.312188,43161.522024,6.371883,0.000000,0.000000,-0.507720,0.861522
89628.811789,43152.731206,6.350784,0.000000,0.000000,-0.569087,0.822278
89635.065874,43145.521444,6.323251,0.000000,0.000000,-0.518683,0.854967
89641.011904,43137.776828,6.307775,0.000000,0.000000,-0.054406,0.998519
89649.127962,43138.347094,6.319729,0.000000,0.000000,0.554016,0.832506
89648.151541,43146.879024,6.354964,0.000000,0.000000,0.855279,0.518168
89641.931784,43153.521069,6.368942,0.000000,0.000000,0.909974,0.414665
89637.612555,43161.848442,6.451797,0.000000,0.000000,0.909045,0.416698
89631.545714,43168.778840,6.634116,0.000000,0.000000,0.896159,0.443734
89624.122748,43174.695442,6.636329,0.000000,0.000000,0.941253,0.337701
89620.025521,43183.171883,6.608391,0.000000,0.000000,0.563098,0.826390
89626.643030,43189.307933,6.705133,0.000000,0.000000,-0.073857,0.997269
89634.970848,43186.000223,6.808525,0.000000,0.000000,-0.285239,0.958457
89642.091632,43180.674270,6.981456,0.000000,0.000000,0.093090,0.995658
89650.491296,43183.922233,7.131100,0.000000,0.000000,0.233975,0.972243
89657.803462,43189.841503,7.029006,0.000000,0.000000,0.056364,0.998410
89665.459012,43185.812054,6.808182,0.000000,0.000000,-0.614220,0.789135
89663.174582,43176.640752,6.734585,0.000000,0.000000,-0.980175,0.198135
89654.599603,43174.028628,6.751959,0.000000,0.000000,-0.999403,0.034559
89645.852265,43172.670817,7.028184,0.000000,0.000000,-0.835952,0.548803
89644.591930,43164.105044,6.942534,0.000000,0.000000,-0.402601,0.915376
89651.663202,43158.945089,6.532002,0.000000,0.000000,-0.195738,0.980656
89660.172493,43161.187529,6.450300,0.000000,0.000000,0.351021,0.936368
89666.000329,43167.377757,6.486128,0.000000,0.000000,0.424725,0.905322
89672.475733,43172.412001,6.526720,0.000000,0.000000,-0.230744,0.973015
89678.001230,43165.687377,6.555898,0.000000,0.000000,-0.509104,0.860705
89678.746072,43156.589207,6.541396,0.000000,0.000000,-0.808032,0.589138
89676.200850,43148.339695,6.533942,0.000000,0.000000,-0.973920,0.226892
89667.794762,43146.913615,6.481318,0.000000,0.000000,-0.996143,0.087748
89659.109711,43146.406687,6.428892,0.000000,0.000000,-0.919541,0.392995
89656.200521,43138.310728,6.390285,0.000000,0.000000,-0.721723,0.692182
89658.995583,43129.597129,6.374259,0.000000,0.000000,-0.771432,0.636312
89654.720752,43122.623288,6.354856,0.000000,0.000000,-0.954609,0.297860
89646.842245,43122.455319,6.326273,0.000000,0.000000,-0.999979,0.006415
89639.635808,43122.961878,6.310553,0.000000,0.000000,0.962200,0.272343
89632.720043,43122.934011,6.247200,0.000000,0.000000,0.922506,0.385984
89629.743415,43129.747900,6.216846,0.000000,0.000000,0.880755,0.473572
89627.347492,43137.488342,6.233031,0.000000,0.000000,0.886576,0.462583
89620.793145,43143.463469,6.227407,0.000000,0.000000,0.885840,0.463990
89615.493090,43150.892372,6.233921,0.000000,0.000000,0.874733,0.484605
89613.658319,43160.381212,6.243207,0.000000,0.000000,0.568884,0.822418
89618.309941,43167.907616,6.328204,0.000000,0.000000,-0.171466,0.985190
89625.964788,43163.938383,6.373565,0.000000,0.000000,-0.433472,0.901167
89628.268304,43155.127070,6.360680,0.000000,0.000000,-0.557544,0.830147
89633.013889,43146.962603,6.326874,0.000000,0.000000,-0.551100,0.834439
89639.436860,43139.651601,6.310586,0.000000,0.000000,-0.232370,0.972628
89647.509991,43137.538773,6.314069,0.000000,0.000000,0.554016,0.832506
89647.914475,43146.330127,6.350738,0.000000,0.000000,0.855279,0.518168
89642.019885,43153.280132,6.368146,0.000000,0.000000,0.909974,0.414665
89637.793270,43161.694576,6.420599,0.000000,0.000000,0.909045,0.416698
89631.979854,43168.692978,6.634230,0.000000,0.000000,0.896159,0.443734
89624.373679,43174.297654,6.634756,0.000000,0.000000,0.941253,0.337701
89620.432955,43182.737214,6.609818,0.000000,0.000000,0.563098,0.826390
89626.820696,43189.326852,6.715838,0.000000,0.000000,-0.073857,0.997269
89634.832685,43185.881446,6.820997,0.000000,0.000000,-0.285239,0.958457
89641.587970,43180.309421,6.957065,0.000000,0.000000,0.093090,0.995658
89649.960518,43183.514910,7.128092,0.000000,0.000000,0.241111,0.970498
89657.200655,43189.541340,7.074255,0.000000,0.000000,0.056364,0.998410
89665.236608,43185.898229,6.824458,0.000000,0.000000,-0.614220,0.789135
89663.457327,43176.625313,6.733609,0.000000,0.000000,-0.980175,0.198135
89655.162375,43173.415717,6.722116,0.000000,0.000000,-0.999403,0.034559
89646.366915,43172.722079,7.044553,0.000000,0.000000,-0.835952,0.548803
89644.373586,43164.714280,6.949255,0.000000,0.000000,-0.476306,0.879280
89651.310413,43159.186813,6.568192,0.000000,0.000000,-0.195738,0.980656
89660.025985,43160.769596,6.450533,0.000000,0.000000,0.351021,0.936368
89665.757824,43167.295836,6.484639,0.000000,0.000000,0.424725,0.905322
89672.189184,43172.120708,6.529873,0.000000,0.000000,-0.230744,0.973015
89677.627723,43165.392394,6.553213,0.000000,0.000000,-0.509104,0.860705
89678.738663,43156.240542,6.540535,0.000000,0.000000,-0.808032,0.589138
89676.105177,43148.183779,6.536481,0.000000,0.000000,-0.973920,0.226892
89667.654384,43147.051268,6.488879,0.000000,0.000000,-0.996143,0.087748
89658.950072,43146.528676,6.432636,0.000000,0.000000,-0.919541,0.392995
89656.209157,43138.369508,6.388015,0.000000,0.000000,-0.721723,0.692182
89658.986825,43129.857646,6.379569,0.000000,0.000000,-0.771432,0.636312
89655.212446,43122.621476,6.353745,0.000000,0.000000,-0.954609,0.297860
89647.372124,43122.197908,6.327244,0.000000,0.000000,-0.999979,0.006415
89640.155127,43123.085223,6.317255,0.000000,0.000000,0.962200,0.272343
89633.292224,43122.626163,6.248448,0.000000,0.000000,0.922506,0.385984
89629.799786,43129.032571,6.215889,0.000000,0.000000,0.880755,0.473572
89627.711089,43136.813533,6.231902,0.000000,0.000000,0.886576,0.462583
89621.519322,43142.866309,6.229248,0.000000,0.000000,0.885840,0.463990
89615.887129,43150.139173,6.232436,0.000000,0.000000,0.874733,0.484605
89613.640301,43159.317682,6.240409,0.000000,0.000000,0.702854,0.711334
89616.926229,43167.665825,6.331276,0.000000,0.000000,0.095761,0.995404
89625.106237,43165.036947,6.370177,0.000000,0.000000,-0.433472,0.901167
89627.772993,43156.295657,6.362043,0.000000,0.000000,-0.557544,0.830147
89632.174643,43147.903265,6.331837,0.000000,0.000000,-0.551100,0.834439
89638.582129,43140.635171,6.311085,0.000000,0.000000,-0.232370,0.972628
89646.561902,43137.209111,6.313123,0.000000,0.000000,0.343524,0.939144
89648.768257,43145.195952,6.342778,0.000000,0.000000,0.855279,0.518168
89642.407498,43151.988962,6.367471,0.000000,0.000000,0.909974,0.414665
89638.413353,43160.639103,6.427704,0.000000,0.000000,0.904818,0.425798
89632.894717,43168.070518,6.607322,0.000000,0.000000,0.906128,0.423003
89625.103911,43173.485646,6.644337,0.000000,0.000000,0.926643,0.375943
89620.067370,43181.295272,6.606902,0.000000,0.000000,0.678018,0.735046
89624.564939,43189.043550,6.692630,0.000000,0.000000,0.129383,0.991595
89633.261266,43186.892302,6.784555,0.000000,0.000000,-0.307613,0.951512
89640.064893,43181.014130,6.941782,0.000000,0.000000,-0.010237,0.999948
89649.025774,43182.368634,7.113174,0.000000,0.000000,0.241111,0.970498
89656.047569,43189.144869,7.071203,0.000000,0.000000,0.056364,0.998410
89664.606615,43187.403658,6.854253,0.000000,0.000000,-0.422610,0.906311
89664.151607,43177.974089,6.746857,0.000000,0.000000,-0.883558,0.468321
89655.920876,43174.134340,6.726508,0.000000,0.000000,-0.997254,0.074058
89646.829848,43173.214881,7.023111,0.000000,0.000000,-0.835952,0.548803
89644.061216,43164.996151,6.982640,0.000000,0.000000,-0.476306,0.879280
89651.240250,43159.633476,6.570240,0.000000,0.000000,-0.195738,0.980656
89660.157523,43161.120929,6.459034,0.000000,0.000000,0.351021,0.936368
89666.201784,43166.866580,6.478582,0.000000,0.000000,0.424725,0.905322
89672.132159,43172.355578,6.526013,0.000000,0.000000,-0.230744,0.973015
89677.626815,43165.794871,6.553716,0.000000,0.000000,-0.509104,0.860705
89678.608155,43156.708359,6.541301,0.000000,0.000000,-0.808032,0.589138
89676.575245,43148.422480,6.536897,0.000000,0.000000,-0.973920,0.226892
89668.349824,43146.829488,6.488504,0.000000,0.000000,-0.997181,0.075030
89659.550681,43146.900751,6.435202,0.000000,0.000000,-0.919541,0.392995
89655.842584,43139.429456,6.389805,0.000000,0.000000,-0.721723,0.692182
89658.740662,43130.940959,6.378710,0.000000,0.000000,-0.717595,0.696460
89655.927827,43123.172668,6.354524,0.000000,0.000000,-0.954609,0.297860
89648.144975,43122.154032,6.330064,0.000000,0.000000,-0.999979,0.006415
89640.838426,43123.291748,6.319028,0.000000,0.000000,0.962200,0.272343
89633.851372,43122.373156,6.253291,0.000000,0.000000,0.922506,0.385984
89629.843961,43128.282562,6.217020,0.000000,0.000000,0.880755,0.473572
89628.102355,43136.089262,6.232000,0.000000,0.000000,0.886576,0.462583
89622.260494,43142.455004,6.231328,0.000000,0.000000,0.885840,0.463990
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
89616.388688,43148.799742,6.231883,0.000000,0.000000,0.874733,0.484605
